trade_index,pnl,cumulative_pnl
0,-22.963702036949144,-22.963702036949144
1,-22.963702036949144,-45.92740407389829
2,-22.963702036949144,-68.89110611084743
3,-22.963702036949144,-91.85480814779658
4,-22.963702036949144,-114.81851018474572
5,18.963702036949144,-95.85480814779658
6,-22.963702036949144,-118.81851018474572
7,18.963702036949144,-99.85480814779658
8,-22.963702036949144,-122.81851018474572
9,-22.963702036949144,-145.78221222169486
10,-22.963702036949144,-168.745914258644
11,-22.963702036949144,-191.70961629559315
12,-22.963702036949144,-214.6733183325423
13,-22.963702036949144,-237.63702036949144
14,18.963702036949144,-218.6733183325423
15,18.963702036949144,-199.70961629559315
16,18.963702036949144,-180.745914258644
17,18.963702036949144,-161.78221222169486
18,18.963702036949144,-142.81851018474572
19,18.963702036949144,-123.85480814779658
20,18.963702036949144,-104.89110611084743
21,-1.0,-105.89110611084743
22,-2.5,-108.39110611084743
23,1.0,-107.39110611084743
24,-2.5,-109.89110611084743
25,18.963702036949144,-90.92740407389829
26,-15.0,-105.92740407389829
27,-1.5,-107.42740407389829
28,-22.963702036949144,-130.39110611084743
29,-22.963702036949144,-153.35480814779658
30,-22.963702036949144,-176.31851018474572
31,-22.963702036949144,-199.28221222169486
32,-22.963702036949144,-222.245914258644
33,-22.963702036949144,-245.20961629559315
34,-22.963702036949144,-268.1733183325423
35,18.963702036949144,-249.20961629559315
36,-8.5,-257.70961629559315
37,-22.963702036949144,-280.6733183325423
38,-22.963702036949144,-303.63702036949144
39,-22.963702036949144,-326.6007224064406
40,-22.963702036949144,-349.5644244433897
41,18.963702036949144,-330.6007224064406
42,-22.963702036949144,-353.5644244433897
43,-22.963702036949144,-376.52812648033887
44,-22.963702036949144,-399.491828517288
45,-1.5,-400.991828517288
46,8.0,-392.991828517288
47,-9.0,-401.991828517288
48,-22.963702036949144,-424.95553055423716
49,-22.963702036949144,-447.9192325911863
50,-22.963702036949144,-470.88293462813544
51,-22.963702036949144,-493.8466366650846
52,18.963702036949144,-474.88293462813544
53,18.963702036949144,-455.9192325911863
54,18.963702036949144,-436.95553055423716
55,-12.0,-448.95553055423716
56,-8.0,-456.95553055423716
57,-9.0,-465.95553055423716
58,-22.963702036949144,-488.9192325911863
59,-22.963702036949144,-511.88293462813544
60,-22.963702036949144,-534.8466366650846
61,-22.963702036949144,-557.8103387020337
62,18.963702036949144,-538.8466366650846
63,-19.5,-558.3466366650846
64,-22.963702036949144,-581.3103387020337
65,-22.963702036949144,-604.2740407389829
66,-22.963702036949144,-627.237742775932
67,-16.5,-643.737742775932
68,4.0,-639.737742775932
69,-4.0,-643.737742775932
70,18.963702036949144,-624.7740407389829
71,18.963702036949144,-605.8103387020337
72,-22.963702036949144,-628.7740407389829
73,-22.963702036949144,-651.737742775932
74,-22.963702036949144,-674.7014448128812
75,-22.963702036949144,-697.6651468498303
76,-22.963702036949144,-720.6288488867795
77,-3.5,-724.1288488867795
78,-7.0,-731.1288488867795
79,3.5,-727.6288488867795
80,18.963702036949144,-708.6651468498303
81,18.963702036949144,-689.7014448128812
82,18.963702036949144,-670.737742775932
83,18.963702036949144,-651.7740407389829
84,18.963702036949144,-632.8103387020337
85,13.5,-619.3103387020337
86,9.0,-610.3103387020337
87,18.963702036949144,-591.3466366650846
88,-22.963702036949144,-614.3103387020337
89,-22.963702036949144,-637.2740407389829
90,-22.963702036949144,-660.237742775932
91,-22.963702036949144,-683.2014448128812
92,18.963702036949144,-664.237742775932
